0.png	\int _ { - \epsilon } ^ \infty d l \: { \rm e } ^ { - l \zeta } \int _ { - \epsilon } ^ \infty d l ' { \rm e } ^ { - l ' \zeta } l l ' { l ' - l \over l + l ' } \{ 3 \, \delta ' ' ( l ) - { 3 \over 4 } t \, \delta ( l ) \} = 0 .
91142.png	\partial _ t v = ( { \epsilon ^ 2 v ^ 2 \over 6 } + v ) { \partial _ x v } + \partial _ x ^ 3 v \, = \partial _ x [ { { \epsilon ^ 2 v ^ 3 } \over 1 8 } + { v ^ 2 \over 2 } + \partial _ x ^ 2 v ]
91146.png	g ^ \kappa _ { A { \bar B } } = \frac { \partial ^ L } { \partial z ^ A } \frac { \partial ^ R } { \partial { \bar z } ^ B } K ^ \kappa ( z , { \bar z } )
91179.png	\vspace { 3 0 p t } \special { p s f i l e = 3 - 6 . p s }
91201.png	A _ { x } \longrightarrow - A _ { - x - 1 } , \ E _ { x } \longrightarrow - E _ { - x - 1 } , \ \psi _ { x } \longrightarrow ( - 1 ) ^ { x } \psi _ { - x } , \ \psi _ { x } ^ { \dag } \longrightarrow ( - 1 ) ^ { x } \psi _ { - x } ^ { \dag }
91244.png	\frac { 1 } { l _ P ^ 2 } d s ^ 2 = \Omega ^ 2 \left ( u ^ 2 d x _ { 3 + 1 } ^ 2 + \frac { 1 } { u ^ 2 } d u ^ 2 \right ) + d s _ 6 ^ 2
91250.png	\begin {tabular} { | c | c | c | c | c | c | c | c | c | } \hline n & 1 , 2 , 3 & 4 & 5 , \cdots , 8 & 9 , \cdots , 1 2 & 1 3 , \cdots , 1 6 & 1 7 , \; 1 8 & 1 9 , \cdots , 2 2 & 2 3 \\ \hline l & 1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 \\ \hline \end {tabular}
91272.png	
91276.png	a _ { i + 1 } = \sum _ { k = 0 } ^ i \ \
91303.png	T _ { i k m n } = < a _ { i } ^ { \dag } a _ { k } a _ { m } ^ { \dag } a _ { n } > - < a _ { i } ^ { \dag } a _ { k } > < a _ { m } ^ { \dag } a _ { n } > .
91316.png	\bar \epsilon \Gamma ^ m P _ m \epsilon ^ \dag \ ,
91370.png	d \tilde { s } _ 3 = { p ^ 2 - q ^ 2 \over P } d p ^ 2 + { p ^ 2 - q ^ 2 \over Q } d q ^ 2 + { { P + Q } \over p ^ 2 - q ^ 2 } \, d w ^ 2 \, .
91373.png	{ \cal L } _ { i n t } ^ { ' } = \frac { f } { 2 M } \psi ^ { \dag } [ \gamma _ { 5 } \partial _ { 0 } \phi + \mbox { \boldmath \sigma } \cdot \mbox { \boldmath \nabla } \phi + i \gamma _ { 5 } \gamma _ { 4 } \mbox { \boldmath \sigma } \cdot ( \partial _ { 0 } \mbox { \boldmath \omega } - \mbox { \boldmath \nabla } \omega _ { 0 } ) + \gamma _ { 4 } ( \mbox { \boldmath \sigma } \times \mbox { \boldmath \nabla } ) \cdot \mbox { \boldmath \omega } ] \psi
91378.png	H = \left \{ \begin {array} { l l } 1 + \frac { Q _ { p + 1 } } { r ^ { 6 - p } } , & 0 \le p \le 5 , \\ 1 - Q _ 7 ~ \mbox { l n } ~ r , & p = 6 , \end {array} \right .
91417.png	\beta F = - \frac { 4 } { 3 } \beta \int d ^ 3 x \int _ { \mu \sqrt { \xi ^ 2 - \Omega _ 0 ^ 2 r ^ 2 } } ^ \infty d \omega \frac { 1 } { e ^ { \beta \omega } - 1 } \frac { \xi r } { \sqrt { ( \xi ^ 2 - \Omega _ 0 ^ 2 r ^ 2 ) } } \left ( \frac { \omega ^ 2 } { \xi ^ 2 - \Omega _ 0 ^ 2 r ^ 2 } - \mu ^ 2 \right ) ^ { 3 / 2 } .
91446.png	\int d \eta = 0 \, , \hspace { 1 c m } \int d \eta \, \eta = 1 \, .
91465.png	\phi _ { a _ M } ^ { ( \alpha _ M ) } ( y + 2 \pi R ) = - \phi _ { a _ M } ^ { ( \alpha _ M ) } ( y ) \qquad \mbox { f o r a _ M = 1 , 2 , \cdots , L _ M } \ .
91506.png	a ( t ) = U _ t ~ a ~ U _ t ^ { * } , ~ ~ c ( t ) = U _ t ~ c ~ U _ t ^ { * } .
91541.png	{ { { \rm C o t } ( \pi z ) } \over { i } } = { { 2 e ^ { i \pi z } } \over { e ^ { i \pi z } - e ^ { - i \pi z } } } - 1 = { { e ^ { i \pi z } + e ^ { - i \pi z } } \over { 2 i \quad { \rm S i n } ( \pi z ) } } \quad ,
91557.png	\P | l , k \rangle = \left ( \sqrt { \textstyle { r \over 2 ( r - 1 ) } } \, l - \sqrt { \textstyle { r - 1 \over 2 r } } \, k \right ) | l , k \rangle , \qquad \beta _ m | l , k \rangle = 0 , \quad m > 0 .
91676.png	\delta V _ h ^ { 0 } = - { k ^ 4 \over 3 2 \pi ^ 2 } B ~ ,
91686.png	S ^ { \rm a d d } = ( p + 1 ) e _ { a } \int d ^ { p + 1 } \xi _ { a } D _ { a } ^ { \mu _ { 1 } \mu _ { 2 } \ldots \mu _ { p } } B _ { b \mu _ { 1 } \mu _ { 2 } \ldots \mu _ { p } } ,
91715.png	\tau ' = \frac { a \tau + b } { c \tau + d } , \quad \quad \quad \pmatrix { H ' _ { ( 3 ) } \cr F \, ' _ { ( 3 ) } \cr } = \pmatrix { d & c \cr b & a \cr } \pmatrix { H _ { ( 3 ) } \cr F _ { ( 3 ) } \cr } \
91732.png	J _ E \: \tilde { \psi } \; : = \; - i f _ { E A A ^ \prime } \left ( x _ { j A } \: \frac { \partial } { \partial x _ { j A ^ \prime } } \: + \: z _ A \: \partial _ { A ^ \prime } \: + \: \overline { z _ A } \: \overline { \partial _ { A ^ \prime } } \: + \: \lambda _ { \alpha A } \: \partial _ { \lambda _ { \alpha A ^ \prime } } \right ) \tilde { \psi } \; = \; 0
91762.png	v _ b = 2 4 M ^ 3 k \left [ 1 - \frac { \xi ^ 2 } { 1 2 8 } - \frac { \xi ^ 4 } { 3 2 7 6 8 } + \cdots \right ] .
91803.png	V ( r ) = \frac { 1 } { 1 6 } ~ \omega ^ 2 r ^ 2 + \frac { l ( l + 1 ) } { r ^ 2 } - \frac { \omega } { 2 } \left ( l + \frac { 3 } { 2 } \right ) ~ ~ ~ ~ ( 0 < r < \infty ~ ; ~ ~ l \ge - \frac { 1 } { 2 } ) ~ .
91821.png	\left ( { \dot { a } \over a } \right ) ^ 2 \ = \ 4 k ^ 2 r _ c ^ 2 - { \l r _ c ^ 2 \over 3 a }
91822.png	m \: \ddot x ^ \mu = F ^ \mu ( x , \dot x , I ) ,
91842.png	{ \cal M } ^ 2 ( \alpha _ l , R ) - { \cal M } ^ 2 ( \alpha _ m , R ) \sim \frac { f ( \alpha _ l ) - f ( \alpha _ m ) } { R ^ 2 } ,
91849.png	r ^ 2 \chi _ 1 \P _ 1 - \P _ 1 \chi _ 1 + ( r ^ 2 - 1 ) \P _ 2 \chi _ - = - r \P _ 1
91873.png	\delta ^ I _ J \equiv \left \{ \begin {array} { l l } 1 & \mbox { i f I = J ; o r } \\ 0 & \mbox { i f I \neq J . } \\ \end {array} \right \}
91893.png	\beta _ j \pm i ( n _ 1 \lambda + \sc [ n _ 2 , \nu ] \pi + \sc [ \pi , 2 ] ) \quad ( n _ 1 , n _ 2 \ge 0 )
91912.png	\Psi \left ( \, x \ , \sigma \, \right ) = \phi ( x ) \, \psi _ 0 \left ( \, R \, \right ) \quad \Longrightarrow \quad \qquad \left [ \, \partial _ \mu \, \partial ^ \mu - M _ 0 ^ 2 \, \right ] \, \phi ( x ) = 0 \ .
91921.png	J _ a ( z ) J _ b ( w ) = \frac { G _ { a b } } { ( z - w ) ^ 2 } + \frac { i f _ { a b } ^ { \ \ c } J _ { c } ( w ) } { z - w } + O ( ( z - w ) ^ 0 ) \sp J _ a ( z e ^ { 2 \pi i } ) = J _ a ( z )
91924.png	{ \begin {array} { c } { \rm F _ { [ m ] } ~ i n ~ I I B } \\ { \rm o n S ^ 1 } \\ \end {array} } \quad { \begin {array} { c } S \\ \longmapsto \\ \end {array} } \quad { \begin {array} { c } { \rm D 1 _ { [ m ] } ~ i n ~ I I B } \\ { \rm o n S ^ 1 } \\ \end {array} } \quad { \begin {array} { c } \Omega \\ \longmapsto \\ \end {array} } \quad { \begin {array} { c } { \rm D 1 _ { [ m ] } ~ i n ~ I B } \\ { \rm o n ~ S ^ 1 } \\ \end {array} } \quad { \begin {array} { c } T _ { m } \\ \longmapsto \\ \end {array} } \quad { \begin {array} { c } { \rm \lq \lq D 0 " ~ i n ~ I ^ { \prime } } \\ { \rm o n ~ S ^ { 1 } / Z _ 2 } \\ \end {array} } \quad ,
91925.png	
91932.png	U ( \tau ) = : \sum _ { \mbox { \tiny { \cal N } } } e ^ { i \beta _ { \mbox { \tiny { \cal N } } } ( \tau ) } | { \mbox { \tiny { \cal N } } } ; \tau \rangle \langle { \mbox { \tiny { \cal N } } } ; \tau | \: , ~ ~ ~ ~ ~ ~ \beta _ { \mbox { \tiny { \cal N } } } ( \tau ) \in [ 0 , 2 \pi ) \: .
92044.png	S = \frac { 1 } { 1 6 } \int d ^ 8 z \ K ( \phi , { \bar \phi } ) - \frac { 1 } { 4 } \int d ^ 6 z _ + \ { \mathcal W } ( \phi ) - \frac { 1 } { 4 } \int d ^ 6 z _ - \ { \bar \mathcal W } ( { \bar \phi } ) \ ,
92047.png	\psi ( x ) = [ u , \psi ^ \# ( u ) ] , \qquad x \in M , \quad u \in \pi ^ { - 1 } ( x ) .
92100.png	{ \tilde { H } } _ 0 = \int d ^ { \nu } p \, \, g ( \vec { p } ) \, a ^ { \dag } ( \vec { p } ) \, \, a ( \vec { p } ) + E _ 0 \; ,
92119.png	\begin {array} { c l } \psi ( x , e ) = \left ( \begin {array} { c l } L \\ R \end {array} \right ) ; ~ ~ ~ \psi ( x , r ) = \left ( \begin {array} { c l } L ^ U \\ R \end {array} \right ) ; \\ [ 6mm ] A _ { \mu } ( x , e ) = \left ( \begin {array} { c c c } L _ { \mu } & 0 \\ [ 1mm ] 0 & R _ { \mu } \end {array} \right ) ; ~ ~ ~ A _ { \mu } ( x , r ) = \left ( \begin {array} { c c c } L ^ U _ { \mu } & 0 \\ [ 1mm ] 0 & R _ { \mu } \end {array} \right ) ; \\ [ 6mm ] \Phi ( x , e ) = \Phi { ^ { \dag } } ( x , r ) = \left ( \begin {array} { c c c } { \frac { \mu } { \lambda } } & { - \phi } \\ { - \phi ^ U } ^ { \dag } & { \frac { \mu } { \lambda } } \end {array} \right ) ; \end {array}
92152.png	0 = \left ( \begin {array} { c c } { \cal E } _ { + } & { \sf a } _ { 2 S - 2 } \\ 1 & 0 \\ \end {array} \right ) \cdot w _ { S - 1 }
92162.png	\left ( \begin {array} { c } \hat { a } _ i ( t ) \\ \hat { a } _ i ^ \dag ( t ) \end {array} \right ) = \sum _ { j = 1 } ^ 2 \left ( \begin {array} { c c } \alpha _ { i j } ( t ) & \beta _ { i j } ( t ) \\ \beta _ { i j } ^ \ast ( t ) & \alpha _ { i j } ^ \ast ( t ) \end {array} \right ) \left ( \begin {array} { c } \hat { a } _ j \\ \hat { a } _ j ^ \dag \end {array} \right ) \; ,
92211.png	\nu = c \sqrt { 1 + ( l \eta ) ^ 2 } \; \zeta + { \cal O } ( l \eta ^ 2 ) \; ,
92214.png	\varphi _ T : = e ^ { - i \pi / 2 } \varphi ( e ^ { - i \sigma _ 1 \pi / 2 } ) : f _ \pm ^ { 3 / 2 } ( \theta , \phi ) \; \mapsto \;
92228.png	\nu _ { j _ { q } } ^ { K } \nu _ { j _ { K - 1 } } H ' ( j _ { q } , j _ { K - 1 } ) \prod _ { p \geq 0 , p \neq q , \/ p \leq K - 1 } H ( j _ { K - 1 } , j _ { p } )
92262.png	\delta \psi ^ { \mu } = J ^ { \mu } { } _ { \nu } \psi ^ { \nu } \ , \ \delta \phi = \delta \lambda = 0 \ .
92264.png	- \frac { I _ { a ' } I _ { a ' } I _ { b ' } I _ { b ' } } { \Im _ { a ' } \Im _ { b ' } } \beta \frac { 1 } { 2 } G _ { \omega _ { a ' } } ( 0 ) + \frac { I _ { a ' } I _ { b ' } I _ { a ' } I _ { b ' } } { \Im _ { a ' } \Im _ { b ' } } \frac { 1 } { 8 } g ( \dot { \omega } _ { a ' } , \dot { \omega } _ { b ' } ) - \frac { I _ { a ' } I _ { b ' } I _ { b ' } I _ { a ' } } { \Im _ { a ' } \Im _ { b ' } } \left ( \frac { 1 } { 8 } g ( \dot { \omega } _ { a ' } , \dot { \omega } _ { b ' } ) - \frac { 1 } { 2 } \beta G _ { \omega _ a } ( 0 ) \right ) ,
92265.png	y ^ 2 = \left ( x \vphantom { x ^ 2 } - \alpha \left ( w , z \right ) \right ) \left ( x ^ 2 + \alpha ( w , z ) x + \beta ( w , z ) \right ) ,
92287.png	\sqrt { \, \left \{ \, X ^ \mu \ , X ^ \nu \, \right \} _ { \mathrm { P B } } \left \{ \, X _ \mu \ , X _ \nu \, \right \} _ { \mathrm { P B } } \, } \longleftarrow \quad ( ? ) \quad \longrightarrow \sqrt { \, \mathrm { T r } \mathbf { F } _ { \mu \nu } \, \mathbf { F } ^ { \mu \nu } \, }
92300.png	{ } \dot { P } _ \mu ( x ) = \{ P _ \mu ( x ) , { \bf H } _ T \} = \int _ M d ^ 3 x ' \bar { N } ^ \nu ( x ' ) \{ P _ \mu ( x ) , Q ^ \sigma _ \nu ( x ' ) \} H ^ G _ \sigma ( x ' ) ,
92324.png	{ \cal H } \phi = { \cal H } _ S \sum { \psi } ^ m _ S \; { \chi } ^ F _ m + \epsilon \sum { \psi } ^ m _ S \; { \chi } ^ F _ m .
92339.png	{ ( - 1 ) ^ { a } \over \Delta _ { a } } \sum _ { c = 0 ; { \rm e v e n } } ^ { 2 a } ( - 1 ) ^ { \frac { c } { 2 } } { c ( c + 2 ) \Delta _ { c } \over 4 } = a ( a + 2 ) .
92357.png	\setlength { \unitlength } { 0 . 0 0 5 i n }
92406.png	B ( x ) : = \sum \limits _ { i \in Q _ 0 } x _ i ^ 2 - \sum \limits _ { \alpha \in Q _ 1 } x _ { s ( \alpha ) } x _ { e ( \alpha ) } .
92440.png	E _ { 0 } ( R ) = R f _ 0 ( m R ) = { m ^ 2 R \, \log ( m R _ 0 ) \over 8 \pi } - \frac { m } { 2 \pi } \int _ { - \infty } ^ { \infty } \cosh \theta \, \log \left ( \rule { 0mm } { 4mm } 1 + e ^ { - \varepsilon _ 0 ( \theta ) } \, \right ) \, \, d \theta
92488.png	
92544.png	T = \frac { 1 } { k + 2 } ( J ^ + J ^ - ) - \frac { k } { k + 2 } B \d C - \frac { 2 } { k + 2 } B C J ^ 0 \, .
92546.png	{ \cal E } = ( S + { \bar S } ) ^ 2 \left | - \frac { 1 } { ( S + { \bar S } ) } + \frac { { \cal B } ^ { \prime } } { \cal B } \right | ^ 2 + \frac { 1 } { 3 } \left | 3 + ( T + { \bar T } ) \frac { H ^ { \prime } ( T ) } { H ( T ) } \right | ^ 2 - 3 ,
92592.png	- \psi _ { \kappa _ x \kappa _ x } + \, \psi _ { k _ y k _ y } = \left ( p ^ 2 _ x + p ^ 2 _ y - E \right ) \psi \; .
92695.png	{ \cal E } ^ { s p i n } _ { a s 1 } \ = \ \frac { \beta ^ 2 m _ e ^ 2 } { 4 \pi } \left ( \frac 1 s + \ln \left ( \frac { 4 \mu ^ 2 } { m _ e ^ 2 } \right ) - 1 \right ) \- \ - \frac { \beta ^ 2 m _ e } { 1 6 R }
92699.png	g = \int _ { S ^ { 2 } _ { \infty } } d \vec { \sigma } \cdot \vec { B } = \frac { 1 } { 2 e v ^ { 3 } } \int _ { S ^ { 2 } _ { \infty } } d ^ { 2 } \sigma ^ { i } \, \varepsilon _ { i j k } \varepsilon ^ { a b c } \Phi _ { a } \partial ^ { j } \Phi _ { b } \partial ^ { k } \Phi _ { c } = \frac { 4 \pi n } { e } \, ,
92763.png	S _ 0 ^ { C S } [ \bar { \phi } ( \beta ) ] = \left ( \beta { \partial \over \partial \beta } - 1 \right ) I [ \bar { \phi } , \beta ] ~ ~ ~ ,
92822.png	z _ { k + 1 } = \left \{ \prod _ { m = 1 } ^ { k } \left ( \begin {array} { c c } { \cal E } & { \sf a } _ { 2 m - 1 } \\ { \sf a } _ { 2 m + 1 } & 0 \\ \end {array} \right ) \right \} \cdot z _ 1
92824.png	g ( q ' , q ) = g ( \gamma ) = \left ( \begin {array} { c c } \frac { 1 + \gamma } { 2 } & \frac { 1 - \gamma } { 2 } \\ \frac { 1 - \gamma } { 2 } & \frac { 1 + \gamma } { 2 } \end {array} \right ) \; ,
92861.png	- m \left ( b _ 1 + \ldots + b _ q \right ) L f _ 0 ( W _ { 1 L } , \ldots , W _ { n L } , g ^ 2 )
92874.png	
92889.png	\times \bigg ( \left ( t _ { C _ 1 } \right ) _ { R _ 2 r _ 2 S _ 2 s _ 2 } \left ( t _ { C _ 2 } \right ) _ { V _ 2 v _ 2 W _ 2 w _ 2 } \left ( \left ( t _ { E _ 2 \alpha _ 2 } \right ) _ { S _ 2 s _ 2 V _ 2 v _ 2 } \delta _ { W _ 2 R _ 2 } \delta _ { w _ 2 r _ 2 } - \delta _ { S _ 2 V _ 2 } \delta _ { s _ 2 v _ 2 } \left ( t _ { E _ 2 \alpha _ 2 } \right ) _ { W _ 2 w _ 2 R _ 2 r _ 2 } \right ) \bigg ) \times
92943.png	\begin {array} { l } { \displaystyle { H = - \frac { 1 } { 2 m } [ \sigma _ { a } e ^ { \mu } _ { a } ( x ) D _ { \mu } ] ^ { 2 } } } \hspace { 4 . 6 c m } \vspace { 0 . 1 5 c m } \\ * \hspace { 0 . 5 c m } { \displaystyle { = - \frac { 1 } { 2 m } \frac { 1 } { \sqrt { g } } D _ { \mu } \sqrt { g } g ^ { \mu \nu } D _ { \nu } - \frac { 1 } { 2 m } \sigma _ { 3 } B ( x ) + \frac { 1 } { 8 m } R ( x ) , } } \end {array}
92965.png	U ( \phi ( s ) ) = e ^ { 2 \pi i s } .
93025.png	\hat { T } _ 3 | \mbox { p h y s } > = ( T _ 3 ^ \eta + T \sb { 1 2 } ) | \mbox { p h y s } > \ .
93030.png	T = \sum _ { i j } Z _ { i j } \chi _ { i } \bar { \chi } _ { j } \; \; ,
93049.png	S _ { 1 } ~ = ~ { \rm e x p } [ \frac { i } { 2 } ( \phi _ 1 + \phi _ 2 ) ] ~ , \vspace { 1 m m }
93050.png	\frac { m ^ 2 } { \mu ^ 2 } = \frac { 2 \sqrt { 2 } \left ( \displaystyle \sum _ b n _ b ^ 2 X _ b \right ) } { \left ( \displaystyle \sum _ b n _ b X _ b \right ) }
93075.png	
93107.png	H _ { h } = - i \sum _ { x } ( \psi _ { x + 1 } ^ { \dag } e ^ { i A } \psi _ { x } - \psi _ { x } ^ { \dag } e ^ { - i A } \psi _ { x + 1 } ) = - i ( R - L )
93144.png	b = \left ( \begin {array} { c } b _ 1 \\ b _ 2 \\ b _ 3 \end {array} \right ) .
93153.png	\delta X ^ { \mu } = c ^ { \mu }
93161.png	
93191.png	\hat { { Q \kern - 0 . 1 e m \raise 0 . 3 e x \llap { / } \kern 0 . 1 5 e m \relax } } _ \tau \, \gamma ^ \mu \, \hat { { R \kern - 0 . 1 e m \raise 0 . 3 e x \llap { / } \kern 0 . 1 5 e m \relax } } _ \tau \, \left ( \equiv \hat { { Q \kern - 0 . 1 e m \raise 0 . 3 e x \llap { / } \kern 0 . 1 5 e m \relax } } _ \tau ^ { ( n + 1 ) } \, \gamma ^ \mu \, \hat { { R \kern - 0 . 1 e m \raise 0 . 3 e x \llap { / } \kern 0 . 1 5 e m \relax } } _ \tau ^ { ( n + 1 ) } \right ) \, ,
93272.png	H _ { I \sigma i j } ^ { ( 2 ) } = \sum _ k H _ { I i k } ^ B H _ { I k j } ^ B \frac { 1 - f _ { \sigma i k } ^ 2 } { P ^ - _ i - P ^ - _ k } .
93285.png	g ~ V _ \mu ^ a = - i ~ t r \{ \frac { \tau ^ a } { 2 } ~ [ ( \partial _ \mu \Xi ) ~ \Xi ^ \dag + ( \partial _ \mu \Xi ^ \dag ) ~ \Xi ] \}
93315.png	\hat { I } ( m , q ) = 2 \pi \sigma r _ s ^ 2 \sqrt { V ( r _ s ) } \beta _ H - \frac { q ^ 2 } { r _ s r _ + } ( r _ s - r _ H ) \beta _ H - \frac { ( r _ s ^ 3 - r _ H ^ 3 ) \beta _ H } { \l ^ 2 } \quad .
93361.png	H _ { \mbox { \tiny m u l t i p l e t } } = S U ( 2 ) ' \times C P ' .
93363.png	\frac { M ( r ) } { r } = 2 \varepsilon _ A \left ( f _ A ( r ) + \dot { r } ^ 2 \right ) ^ { \frac { 1 } { 2 } } ,
93373.png	Q _ k ^ + Q _ { - k } ^ + + { { n - 1 } \o { n + 1 } } Q _ k ^ - Q _ { - k } ^ -
93422.png	D = \left ( \matrix { \partial \kern - 0 . 5 e m / \, \, \otimes \, \, { 1 \kern - . 4 e m 1 } & \gamma _ 5 \otimes M \cr \gamma _ 5 \otimes M ^ { \dag } & \partial \kern - 0 . 5 e m / \, \, \otimes \, \, { 1 \kern - . 4 e m 1 } } \right )
93437.png	\frac { \kappa } { 2 } \left ( \frac { \gamma } { 2 } - 1 \right ) a ( \tau ) - \frac { 1 } { a ( \tau ) } = \alpha \tau + \beta ,
93445.png	\left ( \begin {array} { c } \hat { a } _ i ( { \bf k } ) \\ \hat { a } _ i ^ \dag ( - { \bf k } ) \end {array} \right ) = \sum _ { j = 1 } ^ 2 \left ( \begin {array} { c c } \alpha _ { i j } ^ { k \ast } ( t ) & - \beta _ { j i } ^ k ( t ) \\ - \beta _ { j i } ^ { k \ast } ( t ) & \alpha _ { i j } ^ k ( t ) \end {array} \right ) \left ( \begin {array} { c } \hat { a } _ j ( { \bf k } , t ) \\ \hat { a } _ j ^ \dag ( - { \bf k } , t ) \end {array} \right ) \; .
93460.png	\begin {array} { c } \widetilde { x } = x - \displaystyle \hat { \gamma } \, { \Theta } ( \tau , \widetilde { x } ) \tanh \gamma + \displaystyle \hat { \gamma } \big ( \displaystyle \hat { \gamma } \cdot x \big ) \left ( \displaystyle \frac { 1 - \cos \gamma } { \cos \gamma } \right ) , \hfill \\ [ 2.6mm ] \tilde { \Theta } = \displaystyle \frac { \Theta ( \tau , \widetilde { x } ) - ( \hat { \gamma } \cdot x ) \sin \gamma } { \cosh \gamma } , \hfill \end {array}
93531.png	| M ^ { \pm } _ { [ \alpha , \psi _ { \alpha } ] i } | \leq A ^ \pm _ { [ \alpha , \psi _ { \alpha } ] [ \alpha , \psi _ { \alpha } ] i } \; \; \; \; \; { \rm a n d } \; \; \; \; \; M ^ \pm _ { [ \alpha , \psi _ { \alpha } ] i } = A ^ \pm _ { [ \alpha , \psi _ { \alpha } ] [ \alpha , \psi _ { \alpha } ] i } \; \; \; \; { \rm m o d } \; \; 2 \; \; \; \; ,
93598.png	\begin {array} { c c } { \bf \mbox { { \large \Sigma _ { 3 6 } } } } & \begin {array} { | c | c | c | c | c | c | c | } \hline & 1 & 9 & 9 & 9 & 4 & 4 \\ \hline \Gamma _ 1 & 1 & 1 & 1 & 1 & 1 & 1 \\ \hline \Gamma _ 2 & 1 & - 1 & - 1 & 1 & 1 & 1 \\ \hline \Gamma _ 3 & 1 & i & - i & - 1 & 1 & 1 \\ \hline \Gamma _ 4 & 1 & - i & i & - 1 & 1 & 1 \\ \hline \Gamma _ 5 & 4 & 0 & 0 & 0 & - 2 & 1 \\ \hline \Gamma _ 6 & 4 & 0 & 0 & 0 & 1 & - 2 \\ \hline \end {array} \end {array}
93640.png	X ^ i = \left ( \begin {array} { c c c } \lambda _ 1 ^ i & & \\ & \ddots & \\ & & \lambda _ k ^ i \end {array} \right ) .
93664.png	c _ d ( f _ 1 , f _ 2 ) = d \left \{ m _ 1 \lambda _ 2 - m _ 2 \lambda _ 1 + \frac { 1 } { 4 \pi } \int _ 0 ^ { 2 \pi } \biggl ( \frac { d \tilde { f } _ 1 } { d \sigma } \tilde { f } _ 2 - \frac { d \tilde { f } _ 2 } { d \sigma } \tilde { f } _ 1 \biggr ) d \sigma \right \} .
93700.png	\Phi = e ^ { - i \omega \tau + i \vec { k } \cdot \vec { x } } r ^ { \frac { d } { 2 } } \chi ( r ) \ .
93713.png	\frac { \delta \phi } { \delta J ^ { ( 0 ) } } = - D ^ { - 1 } = \setlength { \unitlength } { 1 m m } \begin {picture} ( 1 3 , 1 0 ) ( - 2 , 0 ) \thicklines \put ( 4 , 1 ) { \circle { 8 } } \put ( - 0 . 2 5 , 1 ) { \circle * { 1 } } \put ( 8 . 2 5 , 1 ) { \circle * { 1 } } \end {picture} .
93720.png	F ^ { ( - ) } ( t ; q ' , q ) = 1 + \sum _ { n = 1 } ^ { \infty } \left ( \frac { - i t } { 2 q ' q } \right ) ^ n \frac { \Gamma ( \lambda + n ) } { n ! \Gamma ( \lambda - n ) } .
93733.png	H _ { B } = \sum _ { \alpha = 1 } ^ { N } ( \frac { p _ { \alpha } ^ { 2 } } { 2 } + \frac { \omega _ { \alpha } ^ { 2 } q _ { \alpha } ^ { 2 } } { 2 } ) , ~ ~ H _ { C } = \sum _ { \alpha = 1 } ^ { N } C _ { \alpha } Q q _ { \alpha } .
93793.png	
93838.png	\begin {array} { | c | c | c | c | c | c | c | c | c | } \hline & 1 & 2 & 2 & \cdots & 2 & 1 & n / 2 & n / 2 \\ \hline \Gamma _ { 1 } & 1 & 1 & 1 & \cdots & 1 & 1 & 1 & 1 \\ \hline \Gamma _ { 2 } & 1 & 1 & 1 & \cdots & 1 & 1 & - 1 & - 1 \\ \hline \Gamma _ { 3 } & 1 & - 1 & 1 & \cdots & ( - 1 ) ^ { m - 1 } & ( - 1 ) ^ { m } & 1 & - 1 \\ \hline \Gamma _ { 4 } & 1 & - 1 & 1 & \cdots & ( - 1 ) ^ { m - 1 } & ( - 1 ) ^ { m } & - 1 & 1 \\ \hline \Gamma _ { 5 } & 2 & 2 \cos \phi & 2 \cos 2 \phi & \cdots & 2 \cos ( m - 1 ) \phi & 2 \cos m \phi & 0 & 0 \\ \hline \Gamma _ { 6 } & 2 & 2 \cos 2 \phi & 2 \cos 4 \phi & \cdots & 2 \cos 2 ( m - 1 ) \phi & 2 \cos 2 m \phi & 0 & 0 \\ \hline \vdots & \vdots & \vdots & \vdots & \cdots & \vdots & \vdots & \vdots & \vdots \\ \hline \Gamma _ { \frac { k ' + 6 } { 2 } } & 2 & 2 \cos ( m - 1 ) \phi & 2 \cos 2 ( m - 1 ) \phi & \cdots & 2 \cos ( m - 1 ) ^ { 2 } \phi & 2 \cos m ( m - 1 ) \phi & 0 & 0 \\ \hline \end {array}
93853.png	
93887.png	{ d M ^ { ( 1 ) } \over d m } = { d ( \delta M ) \over d m } + { 1 \over 2 } \sum _ n { d \omega _ n \over d m } - { 1 \over 2 } \sum _ n { d \tilde \omega _ n \over d m } .
93910.png	Z [ g , \lambda ] = \int D [ \phi ] \exp \Bigl ( - { 1 \over 2 \lambda } \int _ { \sl M } d ^ { 3 } x \sqrt { g } g ^ { \mu \nu } ( x ) \partial _ { \mu } \phi ^ { i } \partial _ { \nu } \phi _ { i } \Bigr ) ,
93911.png	< \tilde { \chi } _ { 1 } | \tilde { \chi } _ { 2 } > ( \equiv < \chi _ { 1 } | \chi _ { 2 } > ) = \int \int \frac { d ^ { 2 } m } { m _ { 2 } ^ { 2 } } \overline { \tilde { \chi } ( m , \bar { m } ) } \tilde { \chi } ( m , \bar { m } ) .
